Model,instance,n,p,d,Plants,Clusters,Time,obj,lproot,MIPGAP,Nodes,Median,Envy,IntraEnvy,ValidInequalities,IntraEnvyNew
Median,rnd001,10,2,2,"[2, 5]","[[0, 2, 3, 4, 6, 7, 9], [1, 5, 8]]",0.002198935,239.94,239.94,0,1,239.94,929.16,472.24,0,1131.88
Median,rnd001,10,3,2,"[1, 2, 3]","[[1, 5], [0, 2, 6, 7, 9], [3, 4, 8]]",0.002180099,169.07,169.07,0,1,169.07,754.27,266.22,0,618.6
Median,rnd001,10,5,2,"[2, 3, 5, 8, 9]","[[0, 2, 6, 7], [3, 4], [1, 5], [8], [9]]",0.002522945,92.46,92.46,0,1,92.46,510.62,104.8,0,432.2
Median,rnd002,10,2,2,"[4, 6]","[[2, 4, 5, 7, 9], [0, 1, 3, 6, 8]]",0.002659082,246.41,246.41,0,1,246.41,1064.57,512.26,0,1112.88
Median,rnd002,10,3,2,"[5, 6, 7]","[[5, 9], [0, 1, 3, 6, 8], [2, 4, 7]]",0.002269983,188.94,188.94,0,1,188.94,981.7,321.48,0,911.74
Median,rnd002,10,5,2,"[1, 3, 7, 8, 9]","[[0, 1, 6], [3], [2, 4, 7], [8], [5, 9]]",0.002140999,87.69,87.69,0,1,87.69,530.35,105.62,0,464.34
Median,rnd003,10,2,2,"[3, 6]","[[1, 3, 5, 7, 9], [0, 2, 4, 6, 8]]",0.004204035,293.62,293.62,0,1,293.62,1119.48,411.3,0,689.76
Median,rnd003,10,3,2,"[1, 5, 6]","[[1, 3, 7], [5, 9], [0, 2, 4, 6, 8]]",0.002323151,212.56,212.56,0,1,212.56,899.38,265.28,0,640.07
Median,rnd003,10,5,2,"[3, 6, 7, 8, 9]","[[3], [0, 2, 6], [7], [1, 4, 8], [5, 9]]",0.002336979,127.35,127.35,0,1,127.35,738.05,152.34,0,333.35
Median,rnd004,10,2,2,"[0, 8]","[[0, 1, 2, 4, 5, 7, 9], [3, 6, 8]]",0.002145052,150.19,150.19,0,1,150.19,818.89,367.86,0,1836.7
Median,rnd004,10,3,2,"[0, 3, 8]","[[0, 1, 2, 4, 5, 7, 9], [3], [6, 8]]",0.002140999,93,93,0,1,93,490.18,261.75,0,1724.93
Median,rnd004,10,5,2,"[2, 3, 4, 5, 6]","[[0, 2, 7, 9], [3], [1, 4], [5], [6, 8]]",0.002562046,38.72,38.72,0,1,38.72,224.86,44.14,0,798.68
Median,rnd005,10,2,2,"[4, 6]","[[0, 1, 4, 7, 8, 9], [2, 3, 5, 6]]",0.002229929,330.28,330.28,0,1,330.28,977.86,481.48,0,1010.98
Median,rnd005,10,3,2,"[0, 6, 8]","[[0, 3, 7], [2, 5, 6], [1, 4, 8, 9]]",0.002196074,235.62,235.62,0,1,235.62,1040.08,313.82,0,911.91
Median,rnd005,10,5,2,"[0, 2, 5, 8, 9]","[[0, 3, 7], [2], [5, 6], [1, 4, 8], [9]]",0.00229907,134.14,134.14,0,1,134.14,748.34,151.59,0,325.66
Median,rnd006,10,2,3,"[1, 5]","[[0, 1, 2, 3, 4, 6, 9], [5, 7, 8]]",0.002662897,445.17,445.17,0,1,445.17,1833.59,960.64,0,1255.74
Median,rnd006,10,3,3,"[1, 2, 5]","[[0, 1, 3, 4, 6, 9], [2, 8], [5, 7]]",0.002371073,297.17,297.17,0,1,297.17,1192.13,431.27,0,892.04
Median,rnd006,10,5,3,"[1, 2, 5, 6, 8]","[[0, 1, 3, 4, 9], [2], [5, 7], [6], [8]]",0.002100945,180.12,180.12,0,1,180.12,971.58,220.98,0,456.9
Median,rnd007,10,2,3,"[1, 2]","[[0, 1, 3, 6], [2, 4, 5, 7, 8, 9]]",0.002238035,581.09,581.09,0,1,581.09,2032.65,1001.49,0,1158.74
Median,rnd007,10,3,3,"[1, 2, 4]","[[0, 1, 3, 6], [2, 5, 7, 8], [4, 9]]",0.002210855,416.37,416.37,0,1,416.37,1946.73,621.81,0,852.63
Median,rnd007,10,5,3,"[1, 2, 3, 4, 5]","[[0, 1, 6], [2, 7, 8], [3], [4, 9], [5]]",0.002118826,227.56,227.56,0,1,227.56,1316.68,259.32,0,546.01
Median,rnd008,10,2,3,"[1, 3]","[[0, 1, 2, 4, 7], [3, 5, 6, 8, 9]]",0.002177,513.72,513.72,0,1,513.72,1641.4,804.28,0,1434.86
Median,rnd008,10,3,3,"[0, 2, 3]","[[0, 1, 7], [2, 4], [3, 5, 6, 8, 9]]",0.002129078,405.97,405.97,0,1,405.97,1629.31,572.32,0,1143.57
Median,rnd008,10,5,3,"[0, 3, 4, 6, 9]","[[0, 1, 7], [3, 5, 8], [2, 4], [6], [9]]",0.00207901,249.15,249.15,0,1,249.15,1370.99,280.5,0,644.51
Median,rnd009,10,2,3,"[5, 8]","[[0, 1, 2, 3, 5, 7], [4, 6, 8, 9]]",0.002209902,507.27,507.27,0,1,507.27,1808.79,886.91,0,1274.34
Median,rnd009,10,3,3,"[2, 3, 4]","[[0, 2, 9], [1, 3, 5, 7], [4, 6, 8]]",0.002300024,399.71,399.71,0,1,399.71,1866.81,592.71,0,735.88
Median,rnd009,10,5,3,"[0, 1, 3, 6, 8]","[[0, 2], [1], [3, 5, 7], [6], [4, 8, 9]]",0.002090931,202.8,202.8,0,1,202.8,1221.68,232.01,0,519.71
Median,rnd010,10,2,3,"[1, 5]","[[1, 7, 8, 9], [0, 2, 3, 4, 5, 6]]",0.002424002,538.87,538.87,0,1,538.87,1817.79,848.19,0,986.2
Median,rnd010,10,3,3,"[1, 4, 5]","[[1, 8, 9], [0, 4, 7], [2, 3, 5, 6]]",0.002180099,430.98,430.98,0,1,430.98,1925.52,568.64,0,655.22
Median,rnd010,10,5,3,"[0, 1, 2, 3, 4]","[[0], [1, 8, 9], [2], [3], [4, 5, 6, 7]]",0.002106905,250.54,250.54,0,1,250.54,1498.64,366.49,0,404.1
Median,rnd011,20,2,2,"[7, 17]","[[0, 1, 2, 5, 6, 7, 8, 10, 11, 14, 15, 18], [3, 4, 9, 12, 13, 16, 17, 19]]",0.011961222,733.42,733.42,0,1,733.42,5234.98,2673.52,0,4032.63
Median,rnd011,20,3,2,"[2, 13, 15]","[[0, 1, 2, 7, 10, 11, 14, 18], [3, 8, 9, 12, 13, 16, 17], [4, 5, 6, 15, 19]]",0.008936882,542.44,542.44,0,1,542.44,3755.44,1227.52,0,2645.48
Median,rnd011,20,5,2,"[0, 4, 10, 12, 13]","[[0, 5, 6, 7, 11], [4, 15, 19], [1, 2, 10, 14, 18], [3, 12, 17], [8, 9, 13, 16]]",0.014010906,338.03,338.03,0,1,338.03,3184.85,615.5,0,1744.88
Median,rnd011,20,7,2,"[0, 1, 2, 4, 9, 16, 17]","[[0, 5, 6, 7, 11], [1, 14], [2, 10], [4, 15, 19], [8, 9, 13], [3, 16, 18], [12, 17]]",0.004028082,237.69,237.69,0,1,237.69,2611.73,378.86,0,1136.02
Median,rnd011,20,10,2,"[0, 2, 3, 4, 5, 6, 9, 12, 14, 18]","[[0, 7, 11], [2, 10], [3, 16], [4, 15, 19], [5], [6], [8, 9, 13], [12, 17], [1, 14], [18]]",0.004179001,137.92,137.92,0,1,137.92,1720.46,171.75,0,807.58
Median,rnd012,20,2,2,"[11, 14]","[[4, 6, 9, 11, 12, 16, 18, 19], [0, 1, 2, 3, 5, 7, 8, 10, 13, 14, 15, 17]]",0.0045681,600.17,600.17,0,1,600.17,4819.37,2468.51,0,4453.53
Median,rnd012,20,3,2,"[3, 11, 17]","[[3, 7, 10], [4, 6, 9, 11, 12, 16, 18, 19], [0, 1, 2, 5, 8, 13, 14, 15, 17]]",0.004307985,462.94,462.94,0,1,462.94,3784.26,1405.62,0,3197.76
Median,rnd012,20,5,2,"[1, 10, 12, 14, 16]","[[1, 13, 15], [3, 10], [4, 6, 9, 11, 12, 19], [0, 2, 5, 7, 8, 14, 17], [16, 18]]",0.004163027,307.51,307.51,0,1,307.51,2949.91,676.41,0,1669.09
Median,rnd012,20,7,2,"[1, 6, 10, 12, 14, 15, 16]","[[1, 13], [2, 6], [3, 10], [4, 9, 11, 12, 19], [0, 5, 7, 8, 14, 17], [15], [16, 18]]",0.004294872,217.32,217.32,0,1,217.32,2277.38,400.99,0,1248.08
Median,rnd012,20,10,2,"[1, 3, 6, 7, 8, 9, 11, 15, 17, 18]","[[1, 13], [3, 10], [2, 6], [7], [8], [9, 19], [4, 11, 12], [15], [0, 5, 14, 17], [16, 18]]",0.004142046,128.63,128.63,0,1,128.63,1624.67,150.7,0,813.24
Median,rnd013,20,2,2,"[10, 15]","[[0, 1, 2, 6, 7, 8, 9, 10, 11, 14, 16, 18, 19], [3, 4, 5, 12, 13, 15, 17]]",0.00486207,717.53,717.53,0,1,717.53,3950.21,2145.74,0,4153.96
Median,rnd013,20,3,2,"[3, 16, 19]","[[3, 4, 5, 15], [6, 9, 11, 12, 13, 16, 17, 18], [0, 1, 2, 7, 8, 10, 14, 19]]",0.004572868,512.8,512.8,0,1,512.8,3905.08,1304.2,0,2910.54
Median,rnd013,20,5,2,"[2, 3, 7, 12, 16]","[[0, 1, 2, 10, 19], [3, 4, 5], [7, 8, 9, 14], [12, 13, 15], [6, 11, 16, 17, 18]]",0.004227877,331.71,331.71,0,1,331.71,3324.53,623.49,0,2121.71
Median,rnd013,20,7,2,"[1, 2, 3, 8, 9, 12, 16]","[[1], [0, 2, 10, 19], [3, 4, 5], [7, 8, 14], [9], [12, 13, 15], [6, 11, 16, 17, 18]]",0.004317045,226.51,226.51,0,1,226.51,2394.43,354.42,0,1554.61
Median,rnd013,20,10,2,"[1, 2, 3, 6, 8, 9, 12, 15, 16, 19]","[[1], [0, 2, 10], [3, 4, 5], [6, 11], [7, 8, 14], [9], [12, 13], [15], [16, 17, 18], [19]]",0.004055023,137.37,137.37,0,1,137.37,1709.09,173.25,0,996.96
Median,rnd014,20,2,2,"[15, 17]","[[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 15, 16], [0, 9, 10, 13, 14, 17, 18, 19]]",0.004925966,674.65,674.65,0,1,674.65,4281.33,2237.61,0,4909.72
Median,rnd014,20,3,2,"[4, 15, 17]","[[3, 4, 16], [1, 2, 5, 6, 7, 8, 11, 12, 15], [0, 9, 10, 13, 14, 17, 18, 19]]",0.004405022,525.22,525.22,0,1,525.22,3284.26,1150.5,0,3681.72
Median,rnd014,20,5,2,"[0, 4, 10, 15, 19]","[[0, 5, 13, 17, 18], [3, 4, 16], [10], [1, 2, 6, 8, 11, 12, 15], [7, 9, 14, 19]]",0.004185915,341.13,341.13,0,1,341.13,2473.59,507.18,0,2037.24
Median,rnd014,20,7,2,"[0, 4, 6, 7, 10, 12, 19]","[[0, 13, 17, 18], [3, 4, 16], [1, 6, 15], [5, 7, 11], [10], [2, 8, 12], [9, 14, 19]]",0.004014969,252.85,252.85,0,1,252.85,2435.37,315.9,0,1143.62
Median,rnd014,20,10,2,"[0, 3, 5, 6, 10, 11, 12, 14, 16, 17]","[[0, 13, 18], [2, 3], [5], [1, 6, 15], [10], [7, 11], [8, 12], [14, 19], [4, 16], [9, 17]]",0.003999949,168.73,168.73,0,1,168.73,2044.43,181.54,0,778.66
Median,rnd015,20,2,2,"[3, 4]","[[0, 3, 5, 8, 9, 11, 12, 13, 14, 15, 17, 19], [1, 2, 4, 6, 7, 10, 16, 18]]",0.009320974,708.27,708.27,0,1,708.27,5587.53,2867.73,0,2902.1
Median,rnd015,20,3,2,"[4, 11, 14]","[[1, 2, 4, 6, 7, 10, 12, 16, 18], [5, 8, 11, 19], [0, 3, 9, 13, 14, 15, 17]]",0.00466013,525.95,525.95,0,1,525.95,4203.77,1356.77,0,2329.67
Median,rnd015,20,5,2,"[1, 2, 4, 11, 14]","[[1, 6, 16], [2, 5, 7], [4, 10, 12, 18], [8, 11, 19], [0, 3, 9, 13, 14, 15, 17]]",0.004132032,321.03,321.03,0,1,321.03,2536.05,481.33,0,1633.35
Median,rnd015,20,7,2,"[0, 1, 2, 4, 9, 11, 13]","[[0, 15], [1, 6, 16], [2, 5, 7], [4, 10, 18], [3, 9, 12], [8, 11, 19], [13, 14, 17]]",0.003987074,217.09,217.09,0,1,217.09,2479.97,286.37,0,892.78
Median,rnd015,20,10,2,"[2, 4, 5, 6, 9, 10, 11, 13, 15, 16]","[[2, 7], [4, 18], [5], [1, 6], [3, 9, 12], [10], [8, 11, 19], [13, 14, 17], [0, 15], [16]]",0.003937006,123.67,123.67,0,1,123.67,1626.67,139.09,0,588.15
Median,rnd016,20,2,3,"[11, 15]","[[0, 4, 7, 8, 9, 10, 11, 16], [1, 2, 3, 5, 6, 12, 13, 14, 15, 17, 18, 19]]",0.009196997,1301.11,1301.11,0,1,1301.11,7040.01,3621.47,0,4327.64
Median,rnd016,20,3,3,"[1, 2, 11]","[[1, 17, 19], [2, 4, 5, 6, 10, 12, 13, 14, 15, 18], [0, 3, 7, 8, 9, 11, 16]]",0.004778862,1023.09,1023.09,0,1,1023.09,5762.85,2103.61,0,4025.69
Median,rnd016,20,5,3,"[0, 1, 9, 12, 13]","[[0, 8, 11, 14, 16], [1, 17, 19], [7, 9], [3, 5, 6, 12, 15], [2, 4, 10, 13, 18]]",0.004142046,701.35,701.35,0,1,701.35,4932.79,996.3,0,1778.92
Median,rnd016,20,7,3,"[1, 5, 7, 8, 11, 12, 13]","[[1, 17, 19], [2, 5, 14], [7, 9], [0, 8], [11, 16], [3, 6, 12, 15], [4, 10, 13, 18]]",0.004054785,529.65,529.65,0,1,529.65,4510.57,620.89,0,1427.05
Median,rnd016,20,10,3,"[3, 5, 8, 9, 10, 11, 12, 13, 17, 19]","[[3], [2, 5, 14], [0, 8], [7, 9], [10], [11, 16], [6, 12, 15], [4, 13, 18], [1, 17], [19]]",0.00412488,371.16,371.16,0,1,371.16,4024.68,387.55,0,1005.99
Median,rnd017,20,2,3,"[13, 18]","[[0, 1, 2, 3, 6, 7, 8, 9, 11, 13, 16, 19], [4, 5, 10, 12, 14, 15, 17, 18]]",0.004577875,895.31,895.31,0,1,895.31,6540.25,3322.83,0,5557.3
Median,rnd017,20,3,3,"[2, 10, 14]","[[0, 1, 2, 3, 6, 7, 9, 11, 13, 16, 19], [5, 8, 10, 12, 18], [4, 14, 15, 17]]",0.004317999,753.25,753.25,0,1,753.25,6028.27,2374.46,0,4398.68
Median,rnd017,20,5,3,"[2, 6, 10, 11, 14]","[[1, 2, 7, 9, 13, 19], [0, 6, 8, 16], [5, 10, 12, 18], [3, 11], [4, 14, 15, 17]]",0.004267931,528.09,528.09,0,1,528.09,4619.71,802.81,0,2472.65
Median,rnd017,20,7,3,"[2, 3, 5, 6, 11, 14, 18]","[[1, 2, 7, 9, 13, 19], [3], [5], [0, 6, 8, 16], [11], [4, 14, 15, 17], [10, 12, 18]]",0.003937006,395.6,395.6,0,1,395.6,3840.96,610.49,0,2151.16
Median,rnd017,20,10,3,"[2, 3, 5, 6, 8, 10, 11, 12, 14, 17]","[[1, 2, 7, 9, 13, 19], [3], [5], [0, 6, 16], [8], [10, 18], [11], [12], [4, 14, 15], [17]]",0.003942013,249.72,249.72,0,1,249.72,2830.2,349.87,0,1780.01
Median,rnd018,20,2,3,"[7, 19]","[[0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 16, 18], [1, 8, 12, 14, 15, 17, 19]]",0.004914045,1120.95,1120.95,0,1,1120.95,5394.51,2793.14,0,5469.56
Median,rnd018,20,3,3,"[3, 6, 17]","[[0, 2, 3, 4, 5, 7, 9, 10, 11, 13, 16], [1, 6, 12, 18], [8, 14, 15, 17, 19]]",0.00901413,936.9,936.9,0,1,936.9,5224.98,1902.01,0,4175.41
Median,rnd018,20,5,3,"[5, 6, 10, 11, 14]","[[4, 5, 9, 16], [6, 18], [10, 12, 13, 15], [0, 2, 3, 7, 11], [1, 8, 14, 17, 19]]",0.004261017,657.94,657.94,0,1,657.94,4695.78,872.17,0,2586.14
Median,rnd018,20,7,3,"[0, 5, 10, 11, 14, 17, 18]","[[0], [4, 5, 9, 16], [10, 12, 13], [2, 3, 7, 11], [1, 8, 14], [15, 17, 19], [6, 18]]",0.00415206,523.56,523.56,0,1,523.56,4520.68,588.4,0,1935.6
Median,rnd018,20,10,3,"[0, 4, 5, 6, 11, 12, 13, 14, 15, 17]","[[0], [4], [5, 9, 16], [6, 18], [2, 3, 7, 11], [10, 12], [13], [1, 8, 14], [15], [17, 19]]",0.003907919,361.42,361.42,0,1,361.42,3920.58,370.37,0,1226.23
Median,rnd019,20,2,3,"[1, 12]","[[0, 1, 3, 5, 7, 9, 10, 14, 15, 16, 18, 19], [2, 4, 6, 8, 11, 12, 13, 17]]",0.004541874,1128.75,1128.75,0,1,1128.75,6621.89,3382.49,0,4474.08
Median,rnd019,20,3,3,"[0, 6, 18]","[[0, 7, 11, 15, 16, 19], [2, 4, 6, 8, 12, 13, 17], [1, 3, 5, 9, 10, 14, 18]]",0.004454851,881.63,881.63,0,1,881.63,6196.81,1939.86,0,3426.91
Median,rnd019,20,5,3,"[0, 3, 6, 8, 18]","[[0, 7, 15, 16, 19], [3, 5, 9], [2, 4, 6, 12, 13, 17], [8, 11], [1, 10, 14, 18]]",0.004245043,649.22,649.22,0,1,649.22,5627.04,1100.07,0,2509.71
Median,rnd019,20,7,3,"[0, 3, 4, 11, 13, 15, 18]","[[0, 7, 16, 19], [3, 5, 9], [4, 6, 12, 17], [8, 11], [2, 13], [15], [1, 10, 14, 18]]",0.004300833,500.51,500.51,0,1,500.51,4873.49,656.59,0,1776.93
Median,rnd019,20,10,3,"[0, 3, 6, 7, 11, 13, 15, 16, 17, 18]","[[0, 19], [3, 5, 9], [2, 4, 6, 12], [7], [8, 11], [13], [15], [16], [17], [1, 10, 14, 18]]",0.003901958,321.92,321.92,0,1,321.92,3846.36,437.38,0,1402.51
Median,rnd020,20,2,3,"[1, 4]","[[0, 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 17, 18], [3, 4, 9, 10, 15, 16, 19]]",0.004502773,1158.19,1158.19,0,1,1158.19,8025.67,4203.06,0,4624.92
Median,rnd020,20,3,3,"[1, 4, 8]","[[0, 1, 2, 5, 6, 7, 11, 13, 14, 17, 18], [3, 4, 9, 10, 15], [8, 12, 16, 19]]",0.004581928,919.01,919.01,0,1,919.01,6455.21,2365.43,0,3573.64
Median,rnd020,20,5,3,"[0, 2, 4, 18, 19]","[[0, 6, 12, 13, 14], [2, 5, 9], [3, 4, 10, 15], [1, 7, 11, 17, 18], [8, 16, 19]]",0.004095078,636.67,636.67,0,1,636.67,6121.77,1216.12,0,2321.49
Median,rnd020,20,7,3,"[0, 2, 4, 12, 17, 18, 19]","[[0, 6, 13, 14], [2, 5, 9], [3, 4, 10, 15], [12], [17], [1, 7, 11, 18], [8, 16, 19]]",0.004343987,469.58,469.58,0,1,469.58,4976.08,779.36,0,1849.22
Median,rnd020,20,10,3,"[0, 2, 3, 4, 11, 12, 13, 17, 18, 19]","[[0, 6, 14], [2, 5, 9], [3], [4, 10, 15], [11], [12], [13], [17], [1, 7, 18], [8, 16, 19]]",0.004109144,286.15,286.15,0,1,286.15,3530.21,371.62,0,1233.22
Median,rnd021,30,2,2,"[0, 23]","[[0, 2, 5, 8, 9, 12, 13, 14, 17, 18, 22, 24], [1, 3, 4, 6, 7, 10, 11, 15, 16, 19, 20, 21, 23, 25, 26, 27, 28, 29]]",0.009989977,876.63,876.63,0,1,876.63,7041.89,3526.81,0,9030.61
Median,rnd021,30,3,2,"[0, 1, 20]","[[0, 2, 8, 12, 13, 14, 17, 18, 22, 24], [1, 3, 5, 6, 7, 9, 10, 11, 15, 16, 19, 23, 25, 28, 29], [4, 20, 21, 26, 27]]",0.00902009,676.2,676.2,0,1,676.2,6488.92,2362.73,0,7972.76
Median,rnd021,30,5,2,"[6, 12, 15, 20, 22]","[[6, 11, 16, 29], [0, 12, 13, 14, 24], [1, 3, 5, 7, 9, 10, 15, 19, 23, 25, 28], [4, 20, 21, 26, 27], [2, 8, 17, 18, 22]]",0.008618116,441.94,441.94,0,1,441.94,5462.52,1150.67,0,4126.96
Median,rnd021,30,7,2,"[6, 10, 12, 20, 22, 23, 28]","[[6, 11, 29], [5, 10, 15, 19, 25], [0, 12, 13, 14, 24], [4, 20, 21, 27], [2, 8, 17, 18, 22], [1, 16, 23, 26], [3, 7, 9, 28]]",0.007856846,321.89,321.89,0,1,321.89,4209.85,545.95,0,3233.55
Median,rnd021,30,10,2,"[1, 10, 11, 13, 16, 20, 22, 24, 28, 29]","[[1, 3, 15], [5, 10, 19, 25], [6, 11], [13], [16, 23, 26], [4, 20, 21, 27], [2, 8, 17, 18, 22], [0, 12, 14, 24], [7, 9, 28], [29]]",0.007544994,236.66,236.66,0,1,236.66,3423.78,343.08,0,2401.9
Median,rnd021,30,15,2,"[2, 3, 6, 7, 9, 10, 13, 15, 18, 20, 23, 24, 25, 26, 29]","[[2, 8, 22], [3], [6, 11], [7, 28], [9], [5, 10, 19], [13], [1, 15], [17, 18], [4, 20, 21, 27], [16, 23], [0, 12, 14, 24], [25], [26], [29]]",0.007812023,140.98,140.98,0,1,140.98,2566.68,176.79,0,1343.34
Median,rnd021,30,20,2,"[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 29]","[[3], [4], [6, 11], [7, 28], [8], [9], [5, 10, 19], [13], [14], [1, 15], [16], [17, 18], [20, 21], [2, 22], [23], [0, 12, 24], [25], [26], [27], [29]]",0.007302999,74.14,74.14,0,1,74.14,1617.56,82.11,0,765.56
Median,rnd022,30,2,2,"[1, 24]","[[1, 5, 6, 7, 9, 10, 12, 15, 16, 19, 21, 23, 25, 28], [0, 2, 3, 4, 8, 11, 13, 14, 17, 18, 20, 22, 24, 26, 27, 29]]",0.010473967,1013.56,1013.56,0,1,1013.56,9579.4,4623.36,0,8550.78
Median,rnd022,30,3,2,"[0, 1, 20]","[[0, 2, 3, 4, 6, 13, 14, 22, 26, 29], [1, 5, 7, 10, 12, 15, 16, 19, 21, 23, 25, 28], [8, 9, 11, 17, 18, 20, 24, 27]]",0.009565115,786.41,786.41,0,1,786.41,9017.13,2955.91,0,7812.11
Median,rnd022,30,5,2,"[0, 7, 17, 21, 25]","[[0, 2, 3, 4, 13, 14, 26, 29], [1, 5, 7, 15, 19, 28], [8, 11, 17, 18, 20, 22, 24, 27], [6, 12, 16, 21], [9, 10, 23, 25]]",0.008512974,512.92,512.92,0,1,512.92,5526.74,1134.9,0,4602.71
Median,rnd022,30,7,2,"[3, 7, 13, 16, 20, 22, 25]","[[3, 6, 14, 26], [1, 5, 7, 15, 19, 28], [0, 4, 13, 29], [12, 16, 21], [8, 11, 17, 18, 20], [2, 22, 24, 27], [9, 10, 23, 25]]",0.007653952,375.64,375.64,0,1,375.64,4681.9,577.65,0,3091.06
Median,rnd022,30,10,2,"[1, 3, 8, 10, 13, 16, 17, 19, 22, 23]","[[1, 15, 28], [3, 6, 14, 26], [8, 18, 20], [9, 10, 25], [0, 4, 13, 29], [12, 16, 21], [11, 17], [5, 7, 19], [2, 22, 24, 27], [23]]",0.007846832,262.18,262.18,0,1,262.18,4015.98,362.32,0,1925.35
Median,rnd022,30,15,2,"[2, 3, 6, 8, 9, 10, 13, 15, 16, 17, 19, 23, 26, 27, 28]","[[2, 22], [3, 14], [6], [8, 18, 20], [9], [10, 25], [0, 4, 13, 29], [1, 15], [12, 16, 21], [11, 17], [5, 7, 19], [23], [26], [24, 27], [28]]",0.00800705,151.25,151.25,0,1,151.25,2707.57,172.98,0,1208.6
Median,rnd022,30,20,2,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 22, 23, 26, 27, 28, 29]","[[3], [0, 4, 13], [5], [6], [7], [8, 18, 20], [9], [10, 25], [12], [14], [1, 15], [16, 21], [11, 17], [19], [2, 22], [23], [26], [24, 27], [28], [29]]",0.00723505,77.52,77.52,0,1,77.52,1720.14,81.67,0,711.2
Median,rnd023,30,2,2,"[6, 12]","[[0, 1, 6, 7, 9, 11, 13, 14, 15, 19, 22, 24, 28, 29], [2, 3, 4, 5, 8, 10, 12, 16, 17, 18, 20, 21, 23, 25, 26, 27]]",0.009604931,973.92,973.92,0,1,973.92,9556.16,4700.64,0,7881.73
Median,rnd023,30,3,2,"[3, 6, 27]","[[2, 3, 4, 8, 12, 17, 18, 20, 21, 23, 26, 28], [0, 1, 6, 7, 9, 11, 13, 15, 19, 22, 24, 29], [5, 10, 14, 16, 25, 27]]",0.00893712,703.33,703.33,0,1,703.33,6553.99,2219.83,0,6260.3
Median,rnd023,30,5,2,"[7, 12, 15, 17, 27]","[[1, 7, 11, 22], [3, 4, 8, 12, 20, 21, 26], [6, 9, 13, 15, 19, 24], [0, 2, 17, 18, 23, 28, 29], [5, 10, 14, 16, 25, 27]]",0.00847888,504.65,504.65,0,1,504.65,5474.73,1065.67,0,3890.07
Median,rnd023,30,7,2,"[7, 12, 15, 16, 23, 27, 29]","[[1, 7, 11, 22], [3, 4, 8, 12, 20, 21], [6, 9, 13, 15, 19, 24], [16, 26], [2, 17, 18, 23], [5, 10, 14, 25, 27], [0, 28, 29]]",0.007918119,387.42,387.42,0,1,387.42,4928.2,687.07,0,2913.07
Median,rnd023,30,10,2,"[1, 5, 6, 12, 14, 15, 16, 23, 24, 29]","[[1, 7, 22], [5, 10, 25, 27], [6, 9, 11], [3, 4, 8, 12, 20, 21], [14], [13, 15, 19], [16, 26], [2, 17, 18, 23], [24], [0, 28, 29]]",0.007512093,289.19,289.19,0,1,289.19,3993.97,401.26,0,2460.54
Median,rnd023,30,15,2,"[2, 5, 7, 8, 9, 14, 15, 16, 18, 20, 21, 22, 24, 26, 29]","[[2, 17, 23], [5, 10, 25, 27], [1, 7, 11], [3, 4, 8], [6, 9], [14], [13, 15, 19], [16], [18], [20], [12, 21], [22], [24], [26], [0, 28, 29]]",0.007812023,176.48,176.48,0,1,176.48,3128.54,212.37,0,1451.58
Median,rnd023,30,20,2,"[1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 24, 26, 27, 29]","[[1], [2, 17, 23], [3, 8], [4], [9], [10], [6, 7, 11], [12, 21], [13], [14], [15], [16], [18], [19], [20], [22], [24], [26], [5, 25, 27], [0, 28, 29]]",0.007270098,94.97,94.97,0,1,94.97,2034.49,108.59,0,888.95
Median,rnd024,30,2,2,"[8, 18]","[[0, 2, 3, 5, 6, 8, 14, 15, 16, 17, 20, 21, 23, 27, 28], [1, 4, 7, 9, 10, 11, 12, 13, 18, 19, 22, 24, 25, 26, 29]]",0.010169029,1082.67,1082.67,0,1,1082.67,10339.41,5113.4,0,8159.82
Median,rnd024,30,3,2,"[14, 17, 25]","[[0, 2, 3, 4, 5, 6, 7, 8, 14, 15, 16, 19, 21, 23, 27], [11, 13, 17, 20, 22, 26, 28], [1, 9, 10, 12, 18, 24, 25, 29]]",0.00918293,829.51,829.51,0,1,829.51,9436.39,3368.42,0,6013.05
Median,rnd024,30,5,2,"[7, 8, 17, 21, 25]","[[4, 7, 11, 19, 23], [2, 3, 5, 6, 8, 14, 15, 16, 27], [13, 17, 20, 22, 26, 28], [0, 10, 21], [1, 9, 12, 18, 24, 25, 29]]",0.008788109,557.32,557.32,0,1,557.32,6944.98,1398.43,0,4252.64
Median,rnd024,30,7,2,"[7, 13, 14, 16, 21, 25, 28]","[[4, 7, 19, 23], [13, 26], [3, 8, 14, 15, 27], [2, 5, 6, 16], [0, 10, 21], [1, 9, 12, 18, 24, 25, 29], [11, 17, 20, 22, 28]]",0.008090973,411.29,411.29,0,1,411.29,6069.39,816.67,0,3204.04
